Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2026-02-28 21:13:33 UTC,50,c3d66be9-8247-4c7b-81e7-6d6df8b7c120,Joe,Burrow,CIN,QB,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-09 17:14:22 UTC,142,0e759258-47eb-4ded-af7f-6ffce9ab2ad8,Cam,Ward,TEN,QB,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-10 01:33:34 UTC,57,067a8cdc-ed3a-4bd7-8a89-7ec44e819aaf,Christian,Watson,GB,WR,61252b5d-ed8d-48c3-8584-8fae104c7fb1,5c837c17-48d8-457c-8f03-7b464520738a,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-19 00:27:09 UTC,1,b01bb761-f415-43c6-9e28-ba81d9e75025,Bijan,Robinson,ATL,RB,8b3ee1cc-5646-487a-a7d4-195e1ac59cf3,e84dd89f-888a-4393-a64f-3b83019b8cd5,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-10 01:48:49 UTC,129,74495a7e-40fd-4779-8599-af4dd40ec864,Brenton,Strange,JAX,TE,61252b5d-ed8d-48c3-8584-8fae104c7fb1,5c837c17-48d8-457c-8f03-7b464520738a,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-28 21:29:58 UTC,170,577d1148-51f9-499a-b885-856a9d29af76,Mike,Washington Jr.,,RB,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-01-30 18:26:57 UTC,221,272c0c1a-726e-4b36-9e6c-e37e4f8d96d9,Devin,Neal,NO,RB,e0b467d9-730f-4d0e-9d35-0158db14de20,c1033cdf-f029-43b6-b8ab-bbf1f1d130f3,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-12 17:38:59 UTC,18,304e1943-e0ce-405e-ac05-1cc99c255fdb,Kenneth,Walker III,KC,RB,b7317ea3-957a-4f34-8897-90c59a3a35f3,a79c3111-74b3-4f65-a182-923b718cbabb,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-10 01:53:51 UTC,153,926480b1-04f4-4476-8e7e-def8df249925,Kayshon,Boutte,NE,WR,61252b5d-ed8d-48c3-8584-8fae104c7fb1,5c837c17-48d8-457c-8f03-7b464520738a,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-19 00:50:56 UTC,169,63e6cd88-ebad-4d92-9ca5-ac66bfdaf8a3,Tyreek,Hill,,WR,8b3ee1cc-5646-487a-a7d4-195e1ac59cf3,e84dd89f-888a-4393-a64f-3b83019b8cd5,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-10 02:01:15 UTC,184,e1d1b6a6-bdb6-4b4b-85e0-5e2e13f522c3,Keaton,Mitchell,LAC,RB,61252b5d-ed8d-48c3-8584-8fae104c7fb1,5c837c17-48d8-457c-8f03-7b464520738a,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-28 21:23:31 UTC,122,a9799cdb-e946-427d-8ad6-f2416165c86c,Emmett,Johnson,,RB,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-28 21:09:53 UTC,23,73be3f6c-913e-4764-ad06-d67b5a277539,Tee,Higgins,CIN,WR,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-09 17:25:42 UTC,214,169ab4a9-bca9-47db-9db0-ed4ec3acbf2f,Ted,Hurst,,WR,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-01-30 18:13:48 UTC,140,782b59cd-fabd-4fe8-81fd-ca28c6c21612,Pat,Bryant,DEN,WR,e0b467d9-730f-4d0e-9d35-0158db14de20,c1033cdf-f029-43b6-b8ab-bbf1f1d130f3,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-28 21:35:46 UTC,215,f664cfe3-c377-4cc9-89b4-8cc2938ea033,Ollie,Gordon,MIA,RB,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-01-30 18:00:16 UTC,53,be1270d5-0970-47e5-ae48-9a3fc9266d02,Jaylen,Waddle,DEN,WR,e0b467d9-730f-4d0e-9d35-0158db14de20,c1033cdf-f029-43b6-b8ab-bbf1f1d130f3,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-19 00:40:26 UTC,97,4e6563d4-e35d-427c-a4c6-031f5aca04b4,Jordan,Love,GB,QB,8b3ee1cc-5646-487a-a7d4-195e1ac59cf3,e84dd89f-888a-4393-a64f-3b83019b8cd5,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-12 17:47:11 UTC,66,afb04f45-45eb-4105-846b-2c0067fc25af,Marvin,Harrison,ARI,WR,b7317ea3-957a-4f34-8897-90c59a3a35f3,a79c3111-74b3-4f65-a182-923b718cbabb,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-01-30 17:58:52 UTC,44,6f0a1ed6-9942-41f4-94aa-3067c110d0e2,Lamar,Jackson,BAL,QB,e0b467d9-730f-4d0e-9d35-0158db14de20,c1033cdf-f029-43b6-b8ab-bbf1f1d130f3,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-03 13:59:22 UTC,192,ac1e7c91-0f2e-4a04-9f41-df3e3e7a25bd,Eli,Stowers,,TE,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-12 18:05:03 UTC,175,af9d15c0-f214-4bdd-9127-78092bf6ed93,Sean,Tucker,TB,RB,b7317ea3-957a-4f34-8897-90c59a3a35f3,a79c3111-74b3-4f65-a182-923b718cbabb,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-19 00:37:13 UTC,226,5230da50-3bd5-4d76-a0a9-d043532f926b,George,Holani,SEA,RB,d53c8477-9da5-4ce1-be6f-0eff8db19e08,d5c2f35a-5fda-4493-8a30-ea1b544a00eb,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-09 17:06:37 UTC,94,40eba077-feae-4371-838b-13b5a8764603,Brock,Purdy,SF,QB,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-11 03:47:15 UTC,169,da3df14f-7e24-4905-82c8-b98bbd8a1f59,Michael,Penix,ATL,QB,c00dcd3a-975b-4fca-81fb-74c6d7071add,3ec15792-a5bf-48db-9d68-2502f0fda271,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-28 21:29:29 UTC,167,da3df14f-7e24-4905-82c8-b98bbd8a1f59,Michael,Penix,ATL,QB,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-09 16:58:24 UTC,46,da3b7413-c653-46d4-abae-1b539138525f,Colston,Loveland,CHI,TE,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-09 17:11:50 UTC,123,68f1481d-0941-40aa-81ea-38f1e8705320,Tyrone,Tracy,NYG,RB,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-01 16:19:54 UTC,234,2dddf16c-96fb-4725-aabd-e60371e7853e,Colbie,Young,,WR,371f173a-8add-44fc-8c56-0cbf5738c83f,3adee8e2-1269-4eb0-a387-75b8d3d9567f,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-10 01:29:27 UTC,40,ecfeab79-505c-42b9-b0db-c0905139f8e1,Zay,Flowers,BAL,WR,61252b5d-ed8d-48c3-8584-8fae104c7fb1,5c837c17-48d8-457c-8f03-7b464520738a,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-19 00:15:33 UTC,82,142fcc25-dca6-4ed8-b976-ef44d7a8051e,Alec,Pierce,IND,WR,d53c8477-9da5-4ce1-be6f-0eff8db19e08,d5c2f35a-5fda-4493-8a30-ea1b544a00eb,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-28 21:16:45 UTC,74,f3630521-c13b-45ff-9fd4-b22234d3d09d,Harold,Fannin,CLE,TE,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-19 00:19:35 UTC,106,386c2f4c-5b7e-4244-af32-c9e80cc9c5cb,Jonah,Coleman,,RB,d53c8477-9da5-4ce1-be6f-0eff8db19e08,d5c2f35a-5fda-4493-8a30-ea1b544a00eb,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-11 03:33:11 UTC,73,d1284cb3-7f71-4d90-974d-ebbdcabdf985,Tucker,Kraft,GB,TE,c00dcd3a-975b-4fca-81fb-74c6d7071add,3ec15792-a5bf-48db-9d68-2502f0fda271,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-12 18:08:57 UTC,199,7d4a34b2-a0df-467f-bc7c-06cf8d8eb5e9,Zachariah,Branch,,WR,b7317ea3-957a-4f34-8897-90c59a3a35f3,a79c3111-74b3-4f65-a182-923b718cbabb,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-28 21:13:06 UTC,47,e0d405cf-c879-4d4e-bad3-29d42c1e2287,Terry,McLaurin,WAS,WR,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-01-30 18:15:05 UTC,149,30fb79f0-b3cb-416b-b641-512fc05272c7,Mark,Andrews,BAL,TE,e0b467d9-730f-4d0e-9d35-0158db14de20,c1033cdf-f029-43b6-b8ab-bbf1f1d130f3,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-16 01:18:52 UTC,49,e0d405cf-c879-4d4e-bad3-29d42c1e2287,Terry,McLaurin,WAS,WR,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-03 14:00:07 UTC,193,d84bc886-2afe-4653-ae09-9c51f182c3f1,Ryan,Flournoy,DAL,WR,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-28 21:22:54 UTC,119,d866415f-1e04-46b0-b3c8-a7dcfcf10fb0,Jayden,Higgins,HOU,WR,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-01 16:16:48 UTC,210,01a7c7e6-871d-4ba5-a1fc-edf1ff0ad908,Kaleb,Johnson,PIT,RB,371f173a-8add-44fc-8c56-0cbf5738c83f,3adee8e2-1269-4eb0-a387-75b8d3d9567f,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-10 01:23:39 UTC,9,c3ac9e53-e016-45e7-863a-e109a88eaee2,James,Cook,BUF,RB,61252b5d-ed8d-48c3-8584-8fae104c7fb1,5c837c17-48d8-457c-8f03-7b464520738a,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-19 00:16:28 UTC,87,0c3af97a-d800-4e73-aa0d-7eaa10d9aa91,Xavier,Worthy,KC,WR,d53c8477-9da5-4ce1-be6f-0eff8db19e08,d5c2f35a-5fda-4493-8a30-ea1b544a00eb,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-09 17:01:56 UTC,70,6e6ce49b-45e4-4f05-84ef-7ae66c1668e8,Parker,Washington,JAX,WR,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-11 03:25:46 UTC,24,d081b2f7-180c-49a4-bf3e-4968e14d68c0,George,Pickens,DAL,WR,c00dcd3a-975b-4fca-81fb-74c6d7071add,3ec15792-a5bf-48db-9d68-2502f0fda271,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-09 17:21:41 UTC,190,ac1e7c91-0f2e-4a04-9f41-df3e3e7a25bd,Eli,Stowers,,TE,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-19 00:53:52 UTC,192,d19b1dcd-eec7-4301-96b7-881b2eb62b71,Isaac,TeSlaa,DET,WR,8b3ee1cc-5646-487a-a7d4-195e1ac59cf3,e84dd89f-888a-4393-a64f-3b83019b8cd5,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-19 00:54:03 UTC,193,d84bc886-2afe-4653-ae09-9c51f182c3f1,Ryan,Flournoy,DAL,WR,8b3ee1cc-5646-487a-a7d4-195e1ac59cf3,e84dd89f-888a-4393-a64f-3b83019b8cd5,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-01 16:12:03 UTC,175,d09dca3c-77d3-4d9f-bb11-e27826513dd9,Elijah,Sarratt,,WR,371f173a-8add-44fc-8c56-0cbf5738c83f,3adee8e2-1269-4eb0-a387-75b8d3d9567f,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-28 21:33:14 UTC,194,4e8b6a26-f015-4ac3-9614-43d47a520e45,Emanuel,Wilson,SEA,RB,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-26 11:49:08 UTC,144,d1acaad7-989a-4ef1-b2af-3d7c8fb104ea,Bryce,Young,CAR,QB,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-28 21:20:28 UTC,98,d5c15f83-be4d-4023-9c2b-d71fdcea928b,Chuba,Hubbard,CAR,RB,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-10 02:08:50 UTC,225,f664cfe3-c377-4cc9-89b4-8cc2938ea033,Ollie,Gordon,MIA,RB,61252b5d-ed8d-48c3-8584-8fae104c7fb1,5c837c17-48d8-457c-8f03-7b464520738a,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-01-30 18:03:37 UTC,77,29ab2065-18c7-4619-bfb9-608800ffedf4,Kyle,Pitts,ATL,TE,e0b467d9-730f-4d0e-9d35-0158db14de20,c1033cdf-f029-43b6-b8ab-bbf1f1d130f3,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-09 17:15:17 UTC,147,a9799cdb-e946-427d-8ad6-f2416165c86c,Emmett,Johnson,,RB,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-01 16:08:29 UTC,151,926480b1-04f4-4476-8e7e-def8df249925,Kayshon,Boutte,NE,WR,371f173a-8add-44fc-8c56-0cbf5738c83f,3adee8e2-1269-4eb0-a387-75b8d3d9567f,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-18 04:55:00 UTC,73,144022e3-3547-4059-b5cf-b2a351b22307,Drake,Maye,NE,QB,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-28 21:10:24 UTC,26,7fc0aee4-38db-42f5-919d-52da687dedf4,Chase,Brown,CIN,RB,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
